         1159224 function calls (1156976 primitive calls) in 0.193 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      186    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _version.py:1(<module>)
      161    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        7    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
       24    0.000    0.000    0.000    0.000 inspect.py:754(unwrap)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x102983a60}
        1    0.000    0.000    0.000    0.000 {method 'accumulate' of 'numpy.ufunc' objects}
    34/14    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
        7    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
      264    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
      290    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      106    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      307    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
     16/7    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
      264    0.000    0.000    0.000    0.000 overrides.py:108(array_function_dispatch)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:626(_register_types)
       26    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
     16/7    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        5    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
        5    0.000    0.000    0.000    0.000 typing.py:1874(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
      121    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.register_at_fork}
      243    0.000    0.000    0.000    0.000 _parser.py:240(__next)
       99    0.000    0.000    0.000    0.000 inspect.py:3076(<genexpr>)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
        9    0.000    0.000    0.000    0.000 overrides.py:30(finalize_array_function_like)
      106    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 typing.py:738(_make_union)
        1    0.000    0.000    0.000    0.000 {method 'sum' of 'numpy.ndarray' objects}
      106    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:703(_validate_timestamp_pyc)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
       54    0.000    0.000    0.000    0.000 enum.py:1543(_get_value)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        5    0.000    0.000    0.000    0.000 typing.py:1123(_generic_init_subclass)
       82    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:731(_validate_hash_pyc)
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        5    0.000    0.000    0.000    0.000 typing.py:1753(_get_protocol_attrs)
        1    0.000    0.000    0.000    0.000 mixins.py:60(NDArrayOperatorsMixin)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        3    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
      106    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      115    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      107    0.000    0.000    0.000    0.000 _parser.py:176(append)
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 enum.py:966(_get_mixins_)
        3    0.000    0.000    0.000    0.000 __init__.py:509(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 pickle.py:1180(_Unpickler)
      117    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _polynomial_impl.py:711(polyval)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        2    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        5    0.000    0.000    0.000    0.000 _parser.py:98(closegroup)
        1    0.000    0.000    0.000    0.000 numeric.py:909(outer)
      126    0.000    0.000    0.000    0.000 typing.py:1629(_value_and_type_iter)
       93    0.000    0.000    0.000    0.000 enum.py:1128(__new__)
      108    0.000    0.000    0.000    0.000 __init__.py:17(set_module)
       15    0.000    0.000    0.000    0.000 enum.py:784(__delattr__)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:811(__contains__)
      104    0.000    0.000    0.000    0.000 typing.py:1634(__eq__)
        1    0.000    0.000    0.000    0.000 _dtype.py:1(<module>)
       10    0.000    0.000    0.000    0.000 <frozen os>:791(encode)
       21    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        4    0.000    0.000    0.000    0.000 <frozen os>:709(__getitem__)
